"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 10:16:01 GMT 2024","Sun Dec 15 10:16:02 GMT 2024","253","Home page tests","","","","","should open add more page",""
"passed","Sun Dec 15 10:15:51 GMT 2024","Sun Dec 15 10:15:53 GMT 2024","2111","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Dec 15 10:16:01 GMT 2024","Sun Dec 15 10:16:01 GMT 2024","338","Home page tests","","","","","should logout",""
"passed","Sun Dec 15 10:16:05 GMT 2024","Sun Dec 15 10:16:06 GMT 2024","941","Login page tests","","","","","should fail to login",""
"passed","Sun Dec 15 10:16:15 GMT 2024","Sun Dec 15 10:16:15 GMT 2024","622","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Dec 15 10:16:00 GMT 2024","Sun Dec 15 10:16:01 GMT 2024","1206","Home page tests","","","","","should display at least one user",""
"passed","Sun Dec 15 10:16:04 GMT 2024","Sun Dec 15 10:16:05 GMT 2024","1702","Login page tests","","","","","should login successfully",""
"passed","Sun Dec 15 10:16:09 GMT 2024","Sun Dec 15 10:16:11 GMT 2024","2205","Register page tests","","","","","should register successfully",""
"passed","Sun Dec 15 10:16:13 GMT 2024","Sun Dec 15 10:16:15 GMT 2024","1187","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Dec 15 10:16:15 GMT 2024","Sun Dec 15 10:16:15 GMT 2024","156","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Dec 15 10:15:53 GMT 2024","Sun Dec 15 10:15:55 GMT 2024","2152","Edit page tests","","","","","should successfully edit",""
