"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 11:03:20 GMT 2024","Sun Dec 15 11:03:23 GMT 2024","2582","Register page tests","","","","","should register successfully",""
"passed","Sun Dec 15 11:03:26 GMT 2024","Sun Dec 15 11:03:26 GMT 2024","205","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Dec 15 11:03:25 GMT 2024","Sun Dec 15 11:03:26 GMT 2024","609","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Dec 15 11:03:24 GMT 2024","Sun Dec 15 11:03:25 GMT 2024","1039","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Dec 15 11:03:13 GMT 2024","Sun Dec 15 11:03:13 GMT 2024","350","Home page tests","","","","","should logout",""
"passed","Sun Dec 15 11:03:16 GMT 2024","Sun Dec 15 11:03:17 GMT 2024","1623","Login page tests","","","","","should login successfully",""
"passed","Sun Dec 15 11:03:13 GMT 2024","Sun Dec 15 11:03:14 GMT 2024","329","Home page tests","","","","","should open add more page",""
"passed","Sun Dec 15 11:03:09 GMT 2024","Sun Dec 15 11:03:11 GMT 2024","2296","Edit page tests","","","","","should successfully edit",""
"passed","Sun Dec 15 11:03:07 GMT 2024","Sun Dec 15 11:03:09 GMT 2024","1958","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Dec 15 11:03:17 GMT 2024","Sun Dec 15 11:03:18 GMT 2024","899","Login page tests","","","","","should fail to login",""
"passed","Sun Dec 15 11:03:12 GMT 2024","Sun Dec 15 11:03:13 GMT 2024","751","Home page tests","","","","","should display at least one user",""
